HoraID,Hora,Turno
780,12:59:00,Tarde
781,13:00:00,Tarde
782,13:01:00,Tarde
783,13:02:00,Tarde
784,13:03:00,Tarde
785,13:04:00,Tarde
786,13:05:00,Tarde
787,13:06:00,Tarde
788,13:07:00,Tarde
789,13:08:00,Tarde
790,13:09:00,Tarde
791,13:10:00,Tarde
792,13:11:00,Tarde
793,13:12:00,Tarde
794,13:13:00,Tarde
795,13:14:00,Tarde
796,13:15:00,Tarde
797,13:16:00,Tarde
798,13:17:00,Tarde
799,13:18:00,Tarde
800,13:19:00,Tarde
801,13:20:00,Tarde
802,13:21:00,Tarde
803,13:22:00,Tarde
804,13:23:00,Tarde
805,13:24:00,Tarde
806,13:25:00,Tarde
807,13:26:00,Tarde
808,13:27:00,Tarde
809,13:28:00,Tarde
810,13:29:00,Tarde
811,13:30:00,Tarde
812,13:31:00,Tarde
813,13:32:00,Tarde
814,13:33:00,Tarde
815,13:34:00,Tarde
816,13:35:00,Tarde
817,13:36:00,Tarde
818,13:37:00,Tarde
819,13:38:00,Tarde
820,13:39:00,Tarde
821,13:40:00,Tarde
822,13:41:00,Tarde
823,13:42:00,Tarde
824,13:43:00,Tarde
825,13:44:00,Tarde
826,13:45:00,Tarde
827,13:46:00,Tarde
828,13:47:00,Tarde
829,13:48:00,Tarde
830,13:49:00,Tarde
831,13:50:00,Tarde
832,13:51:00,Tarde
833,13:52:00,Tarde
834,13:53:00,Tarde
835,13:54:00,Tarde
836,13:55:00,Tarde
837,13:56:00,Tarde
838,13:57:00,Tarde
839,13:58:00,Tarde
840,13:59:00,Tarde
841,14:00:00,Tarde
842,14:01:00,Tarde
843,14:02:00,Tarde
844,14:03:00,Tarde
845,14:04:00,Tarde
846,14:05:00,Tarde
847,14:06:00,Tarde
848,14:07:00,Tarde
849,14:08:00,Tarde
850,14:09:00,Tarde
851,14:10:00,Tarde
852,14:11:00,Tarde
853,14:12:00,Tarde
854,14:13:00,Tarde
855,14:14:00,Tarde
856,14:15:00,Tarde
857,14:16:00,Tarde
858,14:17:00,Tarde
859,14:18:00,Tarde
860,14:19:00,Tarde
861,14:20:00,Tarde
862,14:21:00,Tarde
863,14:22:00,Tarde
864,14:23:00,Tarde
865,14:24:00,Tarde
866,14:25:00,Tarde
867,14:26:00,Tarde
868,14:27:00,Tarde
869,14:28:00,Tarde
870,14:29:00,Tarde
871,14:30:00,Tarde
872,14:31:00,Tarde
873,14:32:00,Tarde
874,14:33:00,Tarde
875,14:34:00,Tarde
876,14:35:00,Tarde
877,14:36:00,Tarde
878,14:37:00,Tarde
879,14:38:00,Tarde
880,14:39:00,Tarde
881,14:40:00,Tarde
882,14:41:00,Tarde
883,14:42:00,Tarde
884,14:43:00,Tarde
885,14:44:00,Tarde
886,14:45:00,Tarde
887,14:46:00,Tarde
888,14:47:00,Tarde
889,14:48:00,Tarde
890,14:49:00,Tarde
891,14:50:00,Tarde
892,14:51:00,Tarde
893,14:52:00,Tarde
894,14:53:00,Tarde
895,14:54:00,Tarde
896,14:55:00,Tarde
897,14:56:00,Tarde
898,14:57:00,Tarde
899,14:58:00,Tarde
900,14:59:00,Tarde
901,15:00:00,Tarde
902,15:01:00,Tarde
903,15:02:00,Tarde
904,15:03:00,Tarde
905,15:04:00,Tarde
906,15:05:00,Tarde
907,15:06:00,Tarde
908,15:07:00,Tarde
909,15:08:00,Tarde
910,15:09:00,Tarde
911,15:10:00,Tarde
912,15:11:00,Tarde
913,15:12:00,Tarde
914,15:13:00,Tarde
915,15:14:00,Tarde
916,15:15:00,Tarde
917,15:16:00,Tarde
918,15:17:00,Tarde
919,15:18:00,Tarde
920,15:19:00,Tarde
921,15:20:00,Tarde
922,15:21:00,Tarde
923,15:22:00,Tarde
924,15:23:00,Tarde
925,15:24:00,Tarde
926,15:25:00,Tarde
927,15:26:00,Tarde
928,15:27:00,Tarde
929,15:28:00,Tarde
930,15:29:00,Tarde
931,15:30:00,Tarde
932,15:31:00,Tarde
933,15:32:00,Tarde
934,15:33:00,Tarde
