DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISAO,SUBDIVISÕES,MUNICIPIO,ESTADO
50770520Rua Benjamim Torreao,50770520,Rua Benjamim Torreao,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507705222a Travessa Benjamim Torreao,50770522,2a Travessa Benjamim Torreao,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770540Rua Napoleao Teixeira de Macedo,50770540,Rua Napoleao Teixeira de Macedo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770550Rua Vinte e Um de Dezembro,50770550,Rua Vinte e Um de Dezembro,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770560Rua Sao Lourenco,50770560,Rua Sao Lourenco,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770580Rua Buritama,50770580,Rua Buritama,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770590Rua Santa Vitoria,50770590,Rua Santa Vitoria,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770600Rua Santa Helena,50770600,Rua Santa Helena,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770601Travessa Santa Helena,50770601,Travessa Santa Helena,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770610Rua Lavinia,50770610,Rua Lavinia,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770620Rua Campo Largo,50770620,Rua Campo Largo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770630Rua Aparecida,50770630,Rua Aparecida,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770640Rua Mariapolis,50770640,Rua Mariapolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770650Rua Turiacu,50770650,Rua Turiacu,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770651Largo da Vila Sao Miguel,50770651,Largo da Vila Sao Miguel,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770660Rua Santo Cristo,50770660,Rua Santo Cristo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770670Rua Djalma Honorio,50770670,Rua Djalma Honorio,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
